Distance [m];volta 1 [km/h];volta2 [km/h];volta3 [km/h];volta4 [km/h];volta5 [km/h];volta6 [km/h];volta7 [km/h]
446.67;8.600;130.240;130.850;125.508;129.210;128.384;137.964
450.06;8.600;131.055;131.290;126.720;130.199;128.764;138.679
453.46;8.600;132.050;131.230;127.968;130.117;129.702;139.379
456.84;8.600;131.225;131.550;129.100;131.802;131.212;140.661
460.21;8.600;133.645;132.090;131.068;132.015;131.008;141.476
463.57;8.600;134.605;133.040;131.584;133.496;131.966;142.761
466.92;8.600;136.520;134.240;132.388;133.039;132.610;144.158
470.31;8.600;135.027;133.628;133.368;126.970;133.110;145.752
473.76;8.600;135.577;132.972;131.160;124.071;135.332;146.479
477.24;8.600;136.110;133.745;129.224;131.090;136.538;147.276
480.77;8.600;136.425;134.389;130.351;130.108;138.094;147.882
484.28;8.600;138.825;136.390;131.961;130.898;139.302;148.870
487.80;8.601;139.375;137.381;133.006;130.718;140.402;151.034
491.34;8.623;140.815;138.281;134.319;132.527;140.924;150.906
494.90;8.644;141.175;139.028;135.216;135.211;141.081;147.796
498.48;8.665;142.570;138.336;135.413;136.310;141.181;147.118
502.08;8.686;142.040;138.844;135.403;137.307;142.415;146.227
505.69;8.707;142.868;140.381;136.277;138.012;144.968;146.540
509.33;8.728;144.560;141.245;137.548;139.210;144.042;146.890
512.99;8.749;146.012;141.898;138.806;140.208;144.915;149.034
516.67;8.770;146.364;144.035;140.061;141.020;146.658;147.936
520.37;8.791;147.904;145.517;140.845;142.998;148.944;148.579
524.10;8.812;148.048;146.790;141.113;142.816;150.210;147.921
527.85;10.094;149.244;147.781;141.161;144.413;151.372;147.803
531.62;10.644;150.336;148.690;142.293;145.714;152.896;146.582
535.42;11.194;151.248;149.708;143.964;147.106;153.524;145.339
539.25;11.748;152.440;150.917;145.274;147.710;154.086;145.979
543.10;12.336;153.420;152.226;145.903;148.709;155.658;145.127
546.99;12.736;153.980;153.581;146.835;149.610;156.880;146.167
550.90;13.163;155.984;154.553;148.248;150.625;157.260;145.424
554.85;13.836;158.008;156.217;149.564;153.113;159.860;145.982
558.83;14.245;158.204;157.688;151.164;154.411;161.060;145.709
562.84;14.750;158.416;160.384;152.387;155.514;160.800;145.603
566.89;15.300;161.212;158.056;153.238;156.904;157.900;146.667
570.97;15.872;161.524;156.573;155.206;157.303;156.640;148.640
575.09;16.645;162.020;156.255;156.403;157.615;160.420;146.566
579.24;17.163;160.052;156.403;157.132;159.120;159.000;148.537
583.42;17.908;158.909;162.563;157.787;161.110;162.240;149.473
587.63;19.063;159.041;163.047;158.406;161.626;163.520;149.791
591.88;19.763;154.182;161.635;159.777;162.738;164.160;150.091
596.16;20.463;163.255;163.162;158.293;154.832;164.140;150.294
600.47;21.154;161.782;164.638;153.502;156.356;164.900;146.129
604.80;21.718;161.182;163.126;155.707;154.194;165.416;141.829
609.15;21.918;160.621;164.301;154.297;153.806;165.263;145.289
613.51;22.172;161.270;163.201;153.394;149.068;166.148;144.236
617.86;22.930;160.288;162.236;152.139;142.498;165.768;142.454
622.21;23.250;159.888;162.573;151.152;137.490;162.993;142.303
626.54;23.790;159.482;162.273;149.749;137.116;162.932;142.009
630.85;24.650;158.912;161.973;148.081;142.820;163.574;138.605
635.13;25.140;159.288;161.781;146.894;143.754;162.989;136.172
639.38;25.570;158.915;162.528;145.320;141.492;163.432;134.354
643.60;26.220;159.364;161.683;143.929;141.154;162.415;131.875
647.80;26.410;158.242;160.509;143.739;143.802;161.705;130.830
652.00;26.480;159.543;160.690;142.830;143.928;162.311;128.084
656.12;26.280;157.721;161.528;142.230;145.274;162.026;125.381
660.21;26.090;158.433;160.908;142.090;143.996;161.347;123.263
664.27;25.980;159.506;162.009;143.370;143.808;161.279;120.775
668.30;25.750;159.748;161.965;147.170;144.228;161.612;118.760
672.30;25.290;161.258;160.744;146.760;145.628;160.764;117.051
