Time (s);Acceleration x (m/s^2);Acceleration y (m/s^2);Acceleration z (m/s^2);Absolute acceleration (m/s^2)
0,351409912;-0,613433838;9,789886475;0,779388428;9,840001249
0,355407715;-0,627807617;9,787490845;0,712341309;9,833440374
0,359405518;-0,627807617;9,794677734;0,638122559;9,835499719
0,363372803;-0,615829468;9,809036255;0,549545288;9,843700433
0,367370606;-0,608657837;9,830581665;0,489685059;9,861571462
0,371368408;-0,594284058;9,852127075;0,472930908;9,881358464
0,375366211;-0,575134277;9,825790405;0,496871948;9,855141717
0,379333496;-0,594284058;9,785095215;0,547149658;9,818382487
0,383331299;-0,627807617;9,737213135;0,597427368;9,775703632
0,387329102;-0,658935547;9,706085205;0,652496338;9,750283972
0,391326905;-0,699630737;9,662994385;0,726715088;9,715506084
0,395324707;-0,737945557;9,622283936;0,796142578;9,68332354
0,399291992;-0,773849487;9,600738525;0,834457397;9,667954407
0,403289795;-0,792999268;9,591156006;0,865570068;9,662729061
0,407287598;-0,800186157;9,588775635;0,896697998;9,663797564
0,411285401;-0,816940308;9,588775635;0,899093628;9,665421822
0,415252686;-0,819335938;9,591156006;0,887130737;9,666880875
0,419250489;-0,826522827;9,600738525;0,860794067;9,674620749
0,423248291;-0,826522827;9,612716675;0,817687988;9,682772098
0,427246094;-0,816940308;9,631866455;0,750656128;9,695551944
0,431213379;-0,807373047;9,651016235;0,666854858;9,707659914
0,435211182;-0,807373047;9,665390015;0,604614258;9,717879078
0,439208985;-0,816940308;9,674957275;0,571090698;9,726167505
0,443206787;-0,843276978;9,679748535;0,556716919;9,732347173
0,44720459;-0,869613647;9,672561646;0,549545288;9,727110399
0,451171875;-0,867218018;9,662994385;0,482498169;9,713821702
0,455169678;-0,804977417;9,665390015;0,334060669;9,704604542
0,459167481;-0,742721558;9,674957275;0,283782959;9,70757263
0,463165283;-0,694839478;9,684539795;0,338851929;9,715345262
0,467132569;-0,682876587;9,672561646;0,448989868;9,707026379
0,471130371;-0,702026367;9,646224976;0,587844849;9,689585072
0,475128174;-0,737945557;9,622283936;0,757843018;9,680249884
0,479125977;-0,771453857;9,579193115;0,911071777;9,653296513
0,48312378;-0,792999268;9,531311035;1,037963867;9,620400557
0,487091065;-0,800186157;9,483428955;1,155273438;9,586990109
0,491088867;-0,792999268;9,459487915;1,229492188;9,571959595
0,49508667;-0,783432007;9,447509766;1,267807007;9,564336939
0,499084473;-0,797790527;9,449905396;1,263015747;9,567256163
0,503051758;-0,838500977;9,442718506;1,224700928;9,558656236
0,507049561;-0,857650757;9,433151245;1,188796997;9,546368186
0,511047364;-0,883987427;9,425964355;1,133728027;9,534966022
